from,to,share
EP318,E100000002093,100.0
EP319,E100000002093,100.0
EP320,E100000002093,100.0
EP321,E100000002093,100.0
EP322,E100000002005,100.0
EP323,E100000002005,100.0
EP324,E100000002005,100.0
EP325,E100000002005,100.0
EP326,E100000002005,100.0
EP327,E100000002005,100.0
EP328,E100000002005,100.0
EP329,E100000002005,100.0
EP330,E100000002005,100.0
EP331,E100000002005,100.0
EP332,E100000002005,100.0
EP333,E100000002005,100.0
EP334,E100000002005,100.0
EP335,E100000002426,100.0
EP336,E100000004088,100.0
EP337,E100000002329,100.0
EP338,E100000002329,100.0
EP339,E100000002329,100.0
EP340,E100000002329,100.0
EP341,E100000002329,100.0
EP342,E100000004337,100.0
EP343,E100000004337,100.0
EP344,E100000001951,100.0
EP345,E100000001951,100.0
EP346,E100000001951,100.0
EP347,E100000002356,100.0
EP348,E100000002356,100.0
EP349,E100000003336,100.0
EP350,E100000003336,100.0
EP351,E100000003336,100.0
EP352,E100000003336,100.0
EP353,E100000003336,100.0
EP354,E100000003336,100.0
EP355,E100000003336,100.0
EP356,E100000003336,100.0
EP357,E100000002155,100.0
EP358,E100000002155,100.0
EP359,E100000002155,100.0
EP360,E100000002155,100.0
EP361,E100000002335,100.0
EP362,E100000002335,100.0
EP363,E100000002335,100.0
EP364,E100000002335,100.0
EP365,E100000001354,100.0
EP366,E100000001354,100.0
EP367,E100000001354,100.0
EP368,E100000001354,100.0
EP369,E100000001354,100.0
EP370,E100000001354,100.0
EP371,E100000001354,100.0
EP372,E100000001354,100.0
EP373,E100000001354,100.0
EP374,E100000001354,100.0
EP375,E100000001354,100.0
EP376,E100000001354,100.0
EP377,E100000001354,100.0
EP378,E100000001354,100.0
EP379,E100001010482,100.0
EP380,E100001010482,100.0
EP381,E100001010482,100.0
EP382,E100000002002,100.0
EP383,E100000002002,100.0
EP384,E100000000598,100.0
EP385,E100000003515,100.0
EP386,E100000003515,100.0
EP387,E100000003515,100.0
EP388,E100000002900,100.0
EP389,E100000002900,100.0
EP390,E100000002900,100.0
EP391,E100000002235,100.0
EP392,E100000002345,100.0
EP393,E100000002345,100.0
EP394,E100000003970,100.0
EP395,E100000003970,100.0
EP396,E100000000890,100.0
EP397,E100000000890,100.0
EP398,E100000000890,100.0
EP399,E100001010524,100.0
EP400,E100000003855,100.0
EP400,E100001013397,100.0
EP401,E100000001354,100.0
EP402,E100000001354,100.0
EP403,E100000001354,100.0
EP404,E100000001354,100.0
EP405,E100000001354,100.0
EP406,E100000001354,100.0
EP407,E100000001354,100.0
EP408,E100000001354,100.0
EP409,E100000001354,100.0
EP410,E100000001354,100.0
EP411,E100000001354,100.0
EP412,E100000001354,100.0
EP413,E100000001354,100.0
EP414,E100000001354,100.0
EP415,E100000001354,100.0
EP416,E100000001354,100.0
EP417,E100000001354,100.0
EP418,E100000001354,100.0
EP419,E100000001354,100.0
EP420,E100000001354,100.0
EP421,E100000001354,100.0
EP422,E100000001354,100.0
EP423,E100000001354,100.0
