Name,gas capacity,coal plant capacity,bioenergy plant capacity,coal mine capacity,steel plant capacity,ID,Entity Type,Legal Entity Type,PubliclyListed,Country
ARN Trade,0.0,0.0,0.0,0.0,0.0,E100001016475,legal entity,JSC,,Russia
ARTISTRY FASHION GARMENT MANUFACTURING COMPANY,0.0,6750.0,0.0,0.0,0.0,E100000125921,,,,
ASCOTEC Holding,0.0,0.0,0.0,0.0,60000.0,E100001016269,legal entity,GmbH,False,Germany
ASMA Capital Partners,5488.0,0.0,0.0,0.0,0.0,E100000001369,legal entity,BSC,,
ATCO,6048.516657670001,0.0,0.0,0.0,0.0,E100000000101,legal entity,Ltd,True,Canada
ATCO Power Australia,87.37573267,0.0,0.0,0.0,0.0,E100001000221,legal entity,Pty Ltd,False,Australia
ATCO Power Canada,5961.140925000001,0.0,0.0,0.0,0.0,E100000002387,legal entity,Ltd,False,Canada
AVIC Industry-Finance Holdings,0.0,0.0,0.7165076851406249,0.0,0.0,E100000129920,legal entity,Co Ltd,True,China
AVIC International Holding,0.0,66000.0,0.0,0.0,0.0,E100000120020,legal entity,Corp,False,China
AVIC Trust,0.0,0.0,0.7165076851406249,0.0,0.0,E100000129932,legal entity,Co Ltd,,China
AXA Entities,33600.0,1108.3333333333333,0.0,0.0,0.0,E100000000374,legal entity,,,France
AZA Acero Sostenible,0.0,0.0,0.0,0.0,2600.0,E100000131104,,,,
Aahana Mineral Resources,0.0,0.0,0.0,8.12724,0.0,E100001010437,legal entity,Sdn Bhd,False,Malaysia
Aalborg Forsyning,0.0,41100.0,0.0,0.0,0.0,E100000120021,legal entity,A/S,False,Denmark
Ab Niroo Bandar Imam,32800.0,0.0,0.0,0.0,0.0,E100000002388,legal entity,Co,,
Abakanskaya CHPP,0.0,38117.39776,0.0,0.0,0.0,E100000120023,legal entity,JSC,,Russia
Abei Energy,0.0,0.0,0.0,0.0,65000.0,E100000137032,legal entity,,,
Abeinsa Juárez N-III,24.211257664230004,0.0,0.0,0.0,0.0,E100000002389,legal entity,SA de CV,,Mexico
Abengoa,4700.0,0.0,0.0,0.0,0.0,E100000000963,legal entity,SA,False,Spain
Abent 3t,26600.0,0.0,0.0,0.0,0.0,E100000002390,legal entity,SAPI de CV,,
Aberdeen Standard Investments,0.0,0.0,2166.6666666666665,0.0,0.0,E100000001091,legal entity,,,United Kingdom
Abergelli Power,1495.0,0.0,0.0,0.0,0.0,E100000002391,legal entity,Ltd,False,United Kingdom
Abhijeet Mining,0.0,2690.356368,0.0,0.0,0.0,E100002000306,legal entity,Ltd,,India
Abhijeet Power,0.0,2690.356368,0.0,0.0,0.0,E100000120024,legal entity,Ltd,False,India
Abhijeet Ventures,0.0,2690.356368,0.0,0.0,0.0,E100002000310,legal entity,Ltd,False,India
Abinski Elektrometallurgicheski Zavod,0.0,0.0,0.0,0.0,0.0,E100000130999,legal entity,LLC,False,Russia
Ableman Finance,0.0,7500.0,0.0,0.0,0.0,E100000120025,legal entity,Ltd,,Virgin Islands (British)
Aboitiz & Company,29.58247159632,26.57143491377328,0.0,0.0,0.0,E100000120026,legal entity,Inc,False,Philippines
Aboitiz Equity Ventures,29.58247159632,26.57143491377328,0.0,0.0,0.0,E100000000806,legal entity,Inc,True,Philippines
Aboitiz Power,29.58247159632,26.57143491377328,0.0,0.0,0.0,E100000001371,legal entity,Corp,True,Philippines
Absolute Clean Energy Public,11400.0,0.0,0.0,0.0,0.0,E100000001021,legal entity,Co Ltd,,Thailand
Abu Dhabi Developmental Holding Company,0.0,0.0,0.0,0.0,360000.0,E100001011044,legal entity,PJSC,False,United Arab Emirates
Abu Dhabi Investment Authority,10385.349300000002,15072.000000000004,0.0,0.0,0.0,E100000001077,state body,,,
Abu Dhabi Marine Operating,54.60839999999999,0.0,0.0,0.0,0.0,E100000002393,legal entity,Co,False,United Arab Emirates
Abu Dhabi National Energy Company,278345.49039600004,207609.18,0.0,0.0,0.0,E100000001078,legal entity,PJSC,True,United Arab Emirates
Abu Dhabi National Oil,23004.9384,0.0,0.0,0.0,0.0,E100000001079,legal entity,Co,False,United Arab Emirates
Abu Dhabi Power,279868.05039600004,207609.18,0.0,0.0,0.0,E100000001080,legal entity,Corp,False,United Arab Emirates
Abu Dhabi Water and Electricity Authority,13643.240399999999,0.0,0.0,0.0,0.0,E100000002157,state body,,,United Arab Emirates
Abul Khair,0.0,0.0,0.0,0.0,140000.0,E100000131048,legal entity,Ltd,False,Bangladesh
Abul Khair Steel,0.0,0.0,0.0,0.0,140000.0,E100000131068,legal entity,Ltd,False,Bangladesh
Academy of Aerospace Power Technology,0.0,0.058529927609999984,0.0,0.0,0.0,E100000126057,,,,
Access Industries,12000.0,0.0,0.0,0.0,0.0,E100000001131,legal entity,Inc,,United States
Acciai Speciali Terni,0.0,0.0,0.0,0.0,17182.500000000004,E100001010325,legal entity,SpA,False,Italy
Acciaieria Arvedi,0.0,0.0,0.0,0.0,430000.0,E100000130778,legal entity,SpA,,Italy
Acciaierie Bertoli Safau,0.0,0.0,0.0,0.0,74542.3184,E100000130813,legal entity,SpA,False,Italy
Acciaierie d'italia,187.71378912000003,0.0,0.0,0.0,1851.9655440000001,E100001010116,legal entity,SpA,False,Italy
Acciaierie di Calvisano,0.0,0.0,0.0,0.0,60000.0,E100000130824,legal entity,SpA,False,Italy
Acciaierie di Sicilia,0.0,0.0,0.0,0.0,50000.0,E100000130873,legal entity,SpA,False,
Acciaierie di Verona,0.0,0.0,0.0,0.0,125000.0,E100000131031,legal entity,SpA,False,Italy
Acciona Solar Power,1983.6000000000001,0.0,0.0,0.0,0.0,E100000002395,legal entity,,,
Ace Alliance Power,9427.2,0.0,0.0,0.0,0.0,E100000002396,legal entity,Ltd,,
