from,to,share
E100000002345,E100002000136,
E100001010524,E100001011221,86.74
E100001011221,E100001011222,100.0
E100000003855,E100000000947,80.0
E100000003855,E100000001361,20.0
E100000000947,E100001000246,32.9
E100000000947,E100000000962,18.2
E100001011718,E100000002094,100.0
E100000000846,E100000000839,
E100001000329,E100000001753,46.77
E100001000329,E100001000330,28.09
E100001000329,E100001000331,14.4
E100001000329,E100000000846,10.74
E100001000331,E100000000839,100.0
E100000001173,E100001010207,100.0
E100000002383,E100000001173,100.0
E100000002437,E100000000336,100.0
E100000000336,E100001010007,25.52
E100000000336,E100000001471,56.88
E100001000400,E100001000330,8.57
E100001000400,E100001000348,7.29
E100000001471,E100001010442,10.55
E100001010442,E100001000400,100.0
E100001000400,E100001015587,69.02
E100001000400,E100001000901,5.19
E100001000400,E100000123261,9.93
E100000001471,E100000123261,44.95
E100000001471,E100001015587,23.13
E100000000336,E100001015587,17.6
E100001011728,E100001011729,
E100000002431,E100000000102,100.0
E100000003672,E100000003676,100.0
E100000003676,E100000132388,
E100000003676,E100001016123,
E100000003676,E100001016124,
E100000003289,E100000000975,100.0
E100000004293,E100000001092,100.0
E100000000407,E100001010813,46.75
E100001010813,E100001010814,100.0
E100001010814,E100001010815,100.0
E100000000407,E100001010816,46.75
E100000004095,E100000000408,95.0
E100000004095,E100000000438,5.0
E100000004097,E100000000401,100.0
E100000000463,E100000000417,38.0
E100000000463,E100000001454,57.9
E100000000417,E100001010762,36.0
E100000000417,E100000004097,19.0
E100000000417,E100000004095,18.0
E100000000417,E100001010763,15.0
E100000000417,E100000001877,6.0
E100000000417,E100001010764,6.0
E100000001876,E100001011516,25.5
E100000001876,E100001011517,25.5
E100000001876,E100000000463,9.15
E100000001876,E100001000203,
E100001000203,E100000000453,100.0
E100000000463,E100000001753,4.1
E100000001870,E100001000079,99.98
E100000002899,E100000001870,97.17
E100000001757,E100001011331,76.0
E100000001757,E100001011332,11.0
E100001011332,E100001011471,100.0
E100000001757,E100001015587,13.0
E100000002435,E100000000035,69.38
E100000002435,E100000000037,20.62
E100000002435,E100000001753,10.0
E100000004358,E100000004166,100.0
E100000004166,E100000000566,100.0
E100000002652,E100000000617,100.0
E100000004255,E100000001082,100.0
E100000003810,E100000000746,34.0
E100000133187,E100000000777,
E100000003810,E100001015587,6.0
E100000003810,E100000133187,60.0
E100000121062,E100000001220,85.71
E100000002438,E100000001204,
E100000002438,E100000001093,
E100000001093,E100001000374,
E100001000374,E100001000375,100.0
E100000001023,E100001000323,23.84
E100000001023,E100001000324,23.24
E100000001023,E100001000325,10.49
E100000001023,E100001000326,7.9
E100001011871,E100000002411,100.0
E100000004196,E100000001180,100.0
E100000002375,E100000000651,40.0
E100000002375,E100000000841,23.4
E100000000841,E100001000329,60.0
E100000000841,E100001000371,40.0
E100000002375,E100000001305,36.6
E100000000551,E100001000189,100.0
E100001000189,E100001000255,100.0
E100000002541,E100000001007,
E100000002541,E100000001175,
E100000001175,E100001011290,87.0
E100000002839,E100000001194,100.0
E100000001194,E100001010595,9.12
E100000001194,E100001000348,7.5
E100000001194,E100001010596,5.42
E100000001194,E100001015587,77.96
E100000002445,E100000001156,100.0
E100000004161,E100000000550,100.0
E100000002111,E100000000947,100.0
E100000002371,E100000001305,100.0
E100000001855,E100001000594,50.0
E100000001855,E100001011549,50.0
E100000001572,E100001001030,26.4
E100000001572,E100001001029,68.63
E100000123155,E100000001753,7.83
E100000123155,E100000123261,37.17
E100000123155,E100000123737,55.0
E100000120905,E100000133656,100.0
E100000002647,E100001016654,
E100001016654,E100001016656,
E100000003709,E100000000747,100.0
E100000002446,E100000000508,100.0
E100000002384,E100000001322,100.0
E100000002385,E100000001322,100.0
E100000000953,E100001000730,6.38
E100000002110,E100000000947,100.0
E100000003919,E100000002110,
E100000003919,E100000000953,
E100000003919,E100000000958,
E100000000953,E100001015587,83.34
E100000002448,E100000000930,49.9
E100000002448,E100000000958,49.9
E100000002448,E100000001753,0.2
E100000001926,E100001000397,51.1
E100000001926,E100001000520,5.4
E100001000520,E100001000397,96.5
E100001000520,E100000123261,2.09
E100000001926,E100001015587,40.86
E100000001926,E100000123261,2.64
E100001000520,E100001015587,1.41
E100000002970,E100000001225,50.0
E100000002970,E100000001001,50.0
E100000003840,E100000002970,100.0
E100000000330,E100001011288,100.0
E100000003065,E100000000935,100.0
E100000002436,E100000000477,100.0
E100000002175,E100000002176,100.0
E100000002922,E100000000066,100.0
E100000002277,E100001000317,100.0
E100000000069,E100001000304,100.0
E100000003961,E100000000069,100.0
E100001010472,E100001000165,20.0
E100001010472,E100000000053,40.0
E100001010472,E100001011132,40.0
E100000000053,E100001014350,75.67
E100000004069,E100000000983,27.62
E100000004069,E100000000612,72.38
E100000002664,E100000000665,40.0
E100001010601,E100001010602,100.0
E100001010599,E100001010600,89.17
E100001010598,E100001010599,65.0
E100001010602,E100000000882,100.0
E100001010598,E100000000882,25.0
E100000002664,E100001010598,50.83
E100001010600,E100001010601,100.0
E100001010598,E100000000469,10.0
E100000002664,E100000000667,9.0
E100000003942,E100000001272,100.0
E100000004389,E100000000079,100.0
E100000000084,E100001000312,6.9
E100001000313,E100001000314,100.0
E100000000084,E100001000311,28.67
E100001000312,E100001000313,100.0
E100001000314,E100001000311,100.0
E100000000084,E100001015587,64.43
E100001000649,E100001000348,10.0
E100001000649,E100001010595,10.11
E100001000649,E100001015587,79.89
E100001011928,E100001000649,100.0
E100001011927,E100001011928,
E100000003734,E100000001281,100.0
E100000001765,E100000000692,100.0
E100000000692,E100000123261,60.45
E100000000692,E100001015587,
E100001011248,E100000001119,100.0
E100000001119,E100001015587,77.6
E100000001119,E100001016292,14.02
E100000001119,E100001000348,8.38
E100000003313,E100000001234,100.0
E100001000519,E100001010034,9.76
E100001000519,E100001010035,7.41
E100001000519,E100001010036,7.41
E100001000519,E100001001119,7.41
E100001000519,E100001010037,11.34
E100001000522,E100001010823,20.22
E100000002460,E100000000518,100.0
E100001000522,E100001010824,15.56
E100001000522,E100001010037,14.04
E100001000522,E100001010825,8.84
E100001000522,E100001000520,9.92
E100001000522,E100001001119,5.2
E100001000522,E100001000516,5.19
E100000000518,E100000001753,5.0
E100001000516,E100001000519,7.5
E100000000518,E100001000522,95.0
E100001000519,E100001010033,10.24
E100001000516,E100001010147,15.0
E100001000516,E100001010148,10.95
E100001000516,E100001000520,7.47
E100001000516,E100001015587,53.15
