company_id,plant_id,powerplant_unit_id,share
E100000122496,L100000101153,,100.0
E100000000476,L100000101998,,100.0
E100000000395,L100000406399,,100.0
E100000000372,L100000408019,,100.0
E100000000834,L100000407839,,100.0
E100000000827,L100000400812,,100.0
E100000136339,,G100000817578,100.0
E100000000380,L100000406373,,100.0
E100000136336,,G100000817568,100.0
E100000122585,,G100000107780,100.0
E100000000380,L100000406371,,100.0
E100000135863,,G100000838921,100.0
E100000000476,L100000407680,,100.0
E100000179305,,G100000922299,51.0
E100000133586,,G100000809984,100.0
E100000000457,L100000400557,,100.0
E100000000375,L100000400497,,100.0
E100000000739,L100000400524,,100.0
E100000000834,L100000407840,,100.0
E100000157735,,G100000802432,15.0
E100000000457,L100000400508,,100.0
E100000002646,,G100000908631,
E100000133586,,G100000809228,100.0
E100000133586,,G100000809226,100.0
E100000000742,L100000407650,,100.0
E100000135766,,G100000805868,100.0
E100000002128,,G100000927797,100.0
E100000149987,,G100000908631,
E100000002646,,G100000908498,
E100000000828,L100000400810,,100.0
E100000122572,L100000101445,,100.0
E100000133586,,G100000809227,100.0
E100000001443,L100000407843,,100.0
E100000122629,L100000104822,,100.0
E100000001452,L100000400512,,100.0
E100000001555,L100000407830,,100.0
E100000149115,,G100000921054,100.0
E100000149114,,G100000921053,100.0
E100000181106,,G100000902701,100.0
E100000120058,,G100000103056,50.0
E100000001568,L100000400004,,100.0
E100000002143,,G100000100072,100.0
E100001000913,L100000102239,,100.0
E100000001561,L100000400002,,100.0
E100000001554,L100000406393,,100.0
E100000001388,L100000400569,,100.0
E100000001569,L100000400076,,100.0
E100000152403,,G100000917582,100.0
E100000001510,L100000400300,,100.0
E100000120033,,G100000100067,100.0
E100000133649,,G100000814068,19.0
E100000134898,,G100000809956,100.0
E100000001546,L100000401424,,100.0
E100000121919,,G100000102007,100.0
E100000121869,L100000100472,,100.0
E100000121854,,G100000115888,100.0
E100000121336,,G100000101153,100.0
E100000001568,L100000400006,,100.0
E100000001472,L100000400546,,100.0
E100000134951,,G100000808560,100.0
E100000001470,L100000400521,,100.0
E100000001294,L100000104174,,100.0
E100000001481,L100000407828,,100.0
E100000001442,L100000400067,,100.0
E100000001483,L100000101848,,100.0
E100000003304,L100000103890,,100.0
E100000001440,L100000407834,,100.0
E100000001387,L100000400332,,100.0
E100000000531,L100000102367,,100.0
E100000120221,L100000102381,,100.0
E100000123013,L100000101619,,100.0
E100000149112,,G100000921044,100.0
E100000123074,L100000101710,,100.0
E100000001388,L100000400526,,100.0
E100000003093,L100000103837,,100.0
E100000157735,,G100000802431,15.0
E100000001545,L100000407837,,100.0
E100000001406,L100000400540,,100.0
E100000121613,L100000104928,,100.0
E100000152403,,G100000925332,100.0
E100000121854,,G100000115889,100.0
E100000120773,,G100000113791,100.0
E100000157734,,G100000802431,85.0
E100000001454,L100000408022,,100.0
E100000001467,L100000400299,,100.0
E100000123076,,G100000104009,100.0
E100000001596,L100000400550,,100.0
E100000001478,L100000400498,,100.0
E100000157734,,G100000802430,85.0
E100000001439,L100000407844,,100.0
E100000001571,L100000407845,,100.0
E100000122558,,G100000103383,100.0
E100000149116,,G100000901179,100.0
E100000001526,L100000407838,,100.0
E100000180001,,G100000905444,100.0
E100000002176,,G100000104835,35.0
E100000001457,L100000406375,,100.0
E100000003003,,G100000105012,20.0
E100000001572,L100000400018,,100.0
E100000120773,,G100000106293,100.0
E100000157735,,G100000802430,15.0
E100000004251,,G100000107317,7.5
E100000001525,L100000407930,,100.0
E100000122208,L100000100922,,100.0
E100000135625,,G100000805134,100.0
E100000001407,L100000400335,,100.0
E100000149067,,G100000927790,100.0
E100000001578,L100000407824,,100.0
E100000122817,,G100000109115,100.0
E100000001563,L100000407829,,100.0
E100000001753,,G100000917460,75.0
E100000001551,L100000103208,,100.0
E100000000382,,G100000927169,100.0
E100000000537,L100000102774,,100.0
E100000152403,,G100000925333,100.0
E100000003414,L100000103942,,100.0
E100000001388,L100000400525,,100.0
E100000152403,,G100000916446,100.0
E100000121203,,G100000101152,100.0
E100000001612,L100000103246,,100.0
E100000152403,,G100000925334,100.0
E100000152403,,G100000913902,100.0
E100000152403,,G100000925335,100.0
E100000158565,,G100000904733,100.0
E100000149110,,G100000927781,100.0
E100000179302,,G100000904886,100.0
E100000001008,,G100000921032,
E100000001451,L100000400519,,100.0
E100000134951,,G100000808571,100.0
E100000137283,,G100000831040,100.0
E100000001291,,G100000107317,21.7
E100000001564,L100000407732,,100.0
E100000121064,,G100000100952,
E100000001615,L100000103236,,100.0
E100000122512,L100000101171,,100.0
E100000122408,,G100000111417,100.0
E100000001736,L100000400000,,100.0
E100000001729,L100000400534,,100.0
E100000001692,L100000400326,,100.0
E100001001353,L100000103865,,100.0
E100000122550,L100000104463,,100.0
E100000001652,L100000400327,,100.0
E100000001713,L100000407835,,100.0
E100000149719,,G100000926536,100.0
E100000152403,,G100000917909,100.0
E100000152403,,G100000925337,100.0
E100000003764,,G100000100952,
E100000000380,L100000400016,,100.0
E100000001703,L100000400080,,100.0
E100000003296,L100000103854,,100.0
E100000001731,L100000100047,,100.0
E100000156053,,G100000813761,100.0
E100000001267,,G100000810775,100.0
E100000149124,,G100000927613,
E100000001637,L100000407617,,100.0
E100000001745,L100000103275,,100.0
E100000002184,L100000103934,,100.0
E100000001719,L100000400334,,100.0
E100000001652,L100000407582,,100.0
E100000000649,,G100000804692,20.0
E100000001656,L100000400078,,100.0
E100000120279,,G100000106938,100.0
E100001001392,L100000104090,,100.0
E100000154565,,G100001003828,100.0
E100000149117,,G100000921070,100.0
E100000001639,L100000400592,,100.0
E100000001652,L100000407583,,100.0
E100000121866,L100000100495,,100.0
E100000179446,,G100000903544,100.0
E100000000029,L100000400009,,100.0
E100000122774,L100000104909,,100.0
E100000001717,L100000400031,,100.0
E100000001704,L100000103264,,100.0
E100000120465,,G100000114019,
E100000003498,L100000104195,,100.0
E100000133701,,G100000800359,100.0
E100000122601,,G100000111085,100.0
E100000001697,L100000400036,,100.0
E100001001441,L100000104170,,100.0
E100000001703,L100000400079,,100.0
E100000001586,,G100000401426,50.0
E100000001744,L100000400038,,100.0
E100000000247,,G100000114247,
E100000001753,,G100000905909,58.64
E100000001693,L100000406378,,100.0
E100000004251,,G100000107318,7.5
E100000001736,L100000400003,,100.0
E100001001066,,G100000107319,24.3
E100000001460,L100000407822,,100.0
E100000003639,,G100000107319,11.3
E100001012708,,G100001003848,
E100000137267,,G100000831031,100.0
E100000001613,L100000103278,,100.0
E100000002747,L100000103975,,100.0
E100000149125,,G100000927617,100.0
E100000000350,L100000400073,,100.0
E100000149123,,G100000927613,
E100000137250,,G100000828365,
E100001000625,L100000104111,,100.0
E100000002329,L100000103778,,100.0
E100000001722,L100000407825,,100.0
E100000122814,,G100000109114,100.0
E100000000185,,G100000114019,
E100000120465,,G100000114245,
E100000134656,,G100000804692,60.0
E100000001686,L100000407832,,100.0
E100000001736,L100000400010,,100.0
E100000157777,,G100000832388,
E100000003729,L100000104000,,100.0
E100000003313,L100000408567,,100.0
E100000149119,,G100000921081,100.0
E100000179982,,G100000928105,85.0
E100000003002,,G100000105013,72.0
E100001001422,,G100000101670,50.0
E100000001654,L100000400538,,100.0
E100000001728,L100000400533,,100.0
E100000137318,,G100000806401,100.0
E100000120757,,G100000115144,
E100000151201,,G100000927567,
E100000122557,,G100000109299,100.0
E100000149118,,G100000921075,100.0
E100000157306,,G100000813169,7.0
E100000151200,,G100000927567,
E100000121060,,G100000107834,
E100000001637,L100000400548,,100.0
E100000001733,L100000400014,,100.0
E100000157305,,G100000813169,20.0
E100000001622,L100000400570,,100.0
E100000120279,,G100000106939,100.0
E100000000472,,G100000401426,50.0
E100000001572,L100000406372,,100.0
E100001000038,L100001000030,,
E100000000742,L100000400522,,50.0
E100001000022,L100001000022,,
