census_tract_2010_id,county_name,state_territory,percent_black_or_african_american_alone,percent_american_indian___alaska_native,percent_asian,percent_native_hawaiian_or_pacific,percent_two_or_more_races,percent_white,percent_hispanic_or_latino,percent_other_races,percent_age_under_10,percent_age_10_to_64,percent_age_over_64,total_threshold_criteria_exceeded,total_categories_exceeded,identified_as_disadvantaged_without_considering_neighbors,identified_as_disadvantaged_based_on_neighbors_and_relaxed_low_income_threshold_only,identified_as_disadvantaged,total_population,adjusted_percent_of_individuals_below_200pct_federal_poverty_line_percentile,adjusted_percent_of_individuals_below_200pct_federal_poverty_line,is_low_income,expected_agricultural_loss_rate_natural_hazards_risk_index,expected_building_loss_rate_natural_hazards_risk_index,expected_population_loss_rate_natural_hazards_risk_index,share_of_properties_at_risk_of_fire_in_30_years,energy_burden,housing_burden_percent,median_value_usd_of_owner-occupied_housing_units,share_of_the_tract's_land_area_that_is_covered_by_impervious_surface_or_cropland_as_a_percent,share_of_the_tract's_land_area_that_is_covered_by_impervious_surface_or_cropland_as_a_percent_percentile,does_the_tract_have_at_least_35_acres_in_it,current_asthma_among_adults_aged_greater_than_or_equal_to_18_years,diagnosed_diabetes_among_adults_aged_greater_than_or_equal_to_18_years,coronary_heart_disease_among_adults_aged_greater_than_or_equal_to_18_years,life_expectancy_years,unemployment_percent,percent_of_individuals_below_200pct_federal_poverty_line,percent_of_individuals_below_100pct_federal_poverty_line
6001403701,Alameda County,California,0.26,0.0,0.12,0.0,0.05,0.43,0.12,0.05,0.04,0.77,0.18,0,0.0,False,False,False,2968.0,0.31,0.13,False,0.0,0.0006,0.0,0.0,0.0,31.0,425900.0,8018.0,95.0,True,890.0,730.0,430.0,84.4,4.0,23.0,14.0
6001403702,Alameda County,California,0.15,0.0,0.17,0.0,0.05,0.51,0.09,0.06,0.05,0.77,0.16,0,0.0,False,False,False,1930.0,0.32,0.13,False,0.0,0.001,0.0,0.0,0.0,21.0,724700.0,7514.0,92.0,True,900.0,700.0,370.0,,2.0,22.0,8.0
6001403800,Alameda County,California,0.12,0.0,0.11,0.0,0.05,0.67,0.03,0.0,0.07,0.78,0.13,0,0.0,False,False,False,3351.0,0.16,0.06,False,0.0,0.0009,0.0,0.0,0.0,16.0,1052700.0,6514.0,85.0,True,840.0,600.0,310.0,83.8,2.0,13.0,5.0
6001403900,Alameda County,California,0.13,0.0,0.16,0.0,0.07,0.57,0.07,0.01,0.06,0.77,0.16,0,0.0,False,False,False,4051.0,0.4,0.17,False,0.0,0.0007,0.0,0.0,0.0,28.0,664700.0,6277.0,82.0,True,860.0,630.0,330.0,86.9,5.0,23.0,8.0
6001404000,Alameda County,California,0.08,0.01,0.1,0.02,0.09,0.55,0.16,0.04,0.05,0.82,0.11,0,0.0,False,False,False,2895.0,0.23,0.09,False,0.0,0.0008,0.0,0.0,0.0,23.0,629600.0,7184.0,90.0,True,869.0,560.0,280.0,82.5,3.0,16.0,6.0
6001404101,Alameda County,California,0.07,0.0,0.12,0.0,0.08,0.62,0.07,0.03,0.03,0.79,0.16,0,0.0,False,False,False,3017.0,0.13,0.04,False,0.0,0.0007,0.0,0.0,0.0,21.0,801500.0,6827.0,87.0,True,819.0,570.0,330.0,82.7,3.0,9.0,6.0
6001404102,Alameda County,California,0.04,0.01,0.12,0.0,0.05,0.66,0.09,0.03,0.04,0.62,0.32,0,0.0,False,False,False,2653.0,0.47,0.21,False,0.0,0.0015,0.0,0.0,0.0,27.0,682700.0,7138.0,90.0,True,840.0,860.0,610.0,79.7,2.0,26.0,9.0
6001404200,Alameda County,California,0.06,0.0,0.18,0.0,0.06,0.61,0.05,0.01,0.13,0.68,0.17,0,0.0,False,False,False,3877.0,0.02,0.0,False,0.0657,0.0006,0.0,0.0,1.0,8.0,1220500.0,2817.0,35.0,True,819.0,700.0,430.0,84.2,9.0,7.0,4.0
6001404300,Alameda County,California,0.01,0.0,0.13,0.0,0.12,0.65,0.11,0.05,0.13,0.66,0.2,0,0.0,False,False,False,3443.0,0.02,0.0,False,0.0,0.0007,0.0,0.0,0.0,8.0,1567400.0,3966.0,52.0,True,790.0,690.0,420.0,83.3,3.0,3.0,3.0
6001404400,Alameda County,California,0.02,0.0,0.12,0.0,0.12,0.67,0.05,0.0,0.1,0.7,0.19,0,0.0,False,False,False,5628.0,0.09,0.02,False,0.0415,0.0144,0.0,0.0,1.0,13.0,995000.0,1851.0,23.0,True,800.0,680.0,380.0,83.5,1.0,9.0,4.0
6001404501,Alameda County,California,0.06,0.0,0.11,0.0,0.07,0.66,0.06,0.0,0.14,0.64,0.21,0,0.0,False,False,False,1809.0,0.02,0.0,False,0.0,0.0005,0.0,0.0,1.0,3.0,1242200.0,2419.0,30.0,True,770.0,740.0,450.0,86.1,3.0,3.0,2.0
6001404502,Alameda County,California,0.01,0.0,0.1,0.0,0.06,0.75,0.07,0.01,0.15,0.67,0.17,0,0.0,False,False,False,5891.0,0.02,0.0,False,0.0,0.0088,0.0,0.0,1.0,5.0,1001200.0,1979.0,25.0,True,810.0,730.0,430.0,82.4,2.0,3.0,0.0
6001404600,Alameda County,California,0.03,0.0,0.13,0.02,0.05,0.69,0.04,0.02,0.09,0.65,0.24,0,0.0,False,False,False,4625.0,0.15,0.05,False,0.0059,0.0211,0.0,0.0,1.0,8.0,1008300.0,896.0,12.0,True,810.0,790.0,480.0,84.0,5.0,10.0,3.0
